Tipo,Precio,Área,Habitaciones,Baños,Estrato
Casa,1150000000,400,6,5,4
Casa,750000000,215,5,4,5
Casa,410000000,340,6,6,5
Casa,560000000,128,3,3,6
Casa,346000000,120,5,5,4
Casa,440000000,105,3,3,5
Casa,550000000,253,4,4,4
Casa,650000000,302,4,4,6
Casa,390000000,123,4,3,5
Casa,680000000,230,9,3,4
Casa,800000000,270,6,5,4
Casa,338000000,90,4,3,6
Casa,353721981,70,3,3,5
Casa,500000000,240,4,4,4
Casa,355000000,120,6,3,4
Casa,360000000,95,3,2,4
Casa,610000000,336,7,8,5
Casa,1400000000,119,4,3,5
Casa,300000000,90,4,2,4
Casa,354500000,83,3,2,5
Casa,420000000,230,4,2,5
Casa,1100000000,250,4,5,4
Casa,360000000,260,4,6,5
Casa,380000000,150,3,3,4
Casa,440000000,210,4,3,5
Casa,590000000,119,6,3,5
Casa,340000000,110,4,3,5
Casa,1500000000,230,3,4,4
Casa,330000000,145,3,2,5
Casa,450000000,180,5,4,5
Casa,280000000,83,2,1,4
Casa,400000000,105,4,3,5
Casa,450000000,72,7,3,5
Casa,2150000000,260,3,4,4
Casa,410000000,95,3,3,5
Casa,699000000,225,3,3,4
Casa,880000000,150,4,3,6
Casa,340000000,127,4,3,4
Casa,2500000000,387,4,5,4
Casa,330000000,108,3,2,4
Casa,385000000,190,5,5,5
Casa,350000000,90,4,3,6
Casa,879000000,186,4,4,5
Casa,630000010,172,5,4,5
Casa,1550000000,384,4,6,4
Casa,290000000,133,4,1,5
Casa,950000000,326,6,5,5
Casa,370000000,95,3,3,5
Casa,900000000,221,4,2,5
Casa,369681677,72,2,2,6
